temperature,mixing_speed,residence_time,feed_composition,moisture,viscosity,purity,color_deviation
83.32,308.1,30.18,0.861,10.476,539.81,98.921,4.392
76.28,164.45,26.66,0.826,10.712,638.04,98.216,4.343
109.72,519.33,34.6,0.787,7.811,394.02,98.343,4.872
81.41,536.55,38.64,0.596,9.196,409.31,99.361,5.982
76.86,553.95,21.92,0.652,11.69,409.36,98.156,5.302
92.56,287.18,49.7,0.632,8.776,556.75,98.401,5.807
68.46,110.58,34.32,0.527,15.163,762.02,94.198,10.315
108.13,775.51,26.7,0.653,8.048,250.82,98.231,5.645
64.47,275.63,15.34,0.415,12.612,572.7,96.648,6.288
119.21,573.22,21.94,0.466,8.299,345.47,96.476,7.426
106.33,594.64,57.46,0.843,7.255,350.17,96.079,3.934
71.92,527.01,25.25,0.776,12.085,423.75,97.934,4.051
60.33,319.04,18.44,0.611,12.066,549.93,96.494,5.525
108.93,289.77,33.03,0.659,7.504,526.45,98.571,5.371
102.41,518.37,25.35,0.585,8.239,390.45,98.415,5.233
103.74,706.27,11.76,0.77,9.521,307.13,97.109,4.778
106.28,762.71,26.16,0.792,8.498,269.12,98.086,3.762
64.44,174.13,37.21,0.782,11.158,638.47,98.027,3.775
81.51,208.38,37.59,0.761,10.152,599.18,99.318,5.232
66.95,761.32,27.83,0.502,11.896,288.84,98.167,5.462
111.79,615.57,32.37,0.569,6.999,337.58,98.134,6.849
97.4,718.1,58.28,0.635,7.246,301.64,96.572,4.818
79.85,241.84,28.87,0.565,10.666,572.48,98.628,5.916
63.81,511.31,22.91,0.777,11.795,432.97,98.017,4.3
78.66,590.8,22.17,0.565,10.449,386.64,98.694,5.009
79.51,576.08,32.89,0.469,10.543,389.24,98.278,6.715
103.78,385.71,47.98,0.6,6.963,463.08,97.9,6.348
98.25,110.78,20.3,0.89,9.271,631.92,98.57,3.71
113.23,508.05,45.46,0.513,6.953,385.69,97.105,6.66
88.33,277.17,11.06,0.706,10.363,545.82,96.837,5.446
67.18,415.18,30.95,0.616,11.577,491.18,98.039,4.934
102.79,770.31,48.79,0.436,7.24,252.71,97.582,5.933
105.65,379.32,26.94,0.644,8.958,469.33,98.118,6.009
93.68,687.86,38.19,0.751,8.772,309.6,98.854,5.785
106.26,231.98,20.25,0.657,8.952,554.47,97.892,5.76
89.63,570.72,47.1,0.836,9.024,388.54,98.554,4.99
91.36,783.9,12.61,0.544,9.973,257.03,97.385,5.4
85.65,171.33,52.63,0.443,7.828,618.42,97.735,6.991
61.53,105.82,19.91,0.868,12.487,686.71,96.48,4.301
66.47,403.51,53.72,0.589,10.202,487.91,96.872,5.387
61.89,164.84,27.63,0.688,12.097,648.87,96.572,4.795
98.18,623.87,46.13,0.796,7.987,353.12,98.352,4.927
78.86,740.18,25.96,0.562,10.39,292.37,98.859,6.41
90.51,403.81,55.3,0.758,9.025,466.91,97.324,5.008
114.45,281.1,16.33,0.468,7.578,516.28,97.02,6.944
74.96,404.08,18.93,0.546,11.514,490.57,98.25,5.726
84.62,606.41,34.65,0.472,12.436,461.96,95.044,10.982
105.33,106.34,14.1,0.806,8.976,618.78,97.428,5.234
73.73,512.62,19.8,0.511,11.138,428.6,97.024,5.597
64.62,529.3,57.19,0.759,9.877,431.87,96.209,3.638
77.39,546.38,58.82,0.872,9.358,410.32,96.957,2.858
69.67,269.42,28.81,0.664,11.741,574.86,97.445,5.323
115.78,599.84,56.16,0.67,6.318,333.52,96.589,6.023
108.49,163.97,37.24,0.631,7.689,587.68,98.298,6.024
98.0,239.49,23.49,0.563,8.76,563.62,98.271,6.335
112.29,714.23,45.12,0.638,7.159,278.75,97.951,5.119
108.22,617.11,42.95,0.701,8.268,327.24,97.494,5.405
71.19,109.62,59.46,0.893,9.447,665.99,96.153,4.197
113.55,273.86,23.25,0.869,7.863,520.67,96.957,4.516
92.36,250.08,43.6,0.831,8.456,567.11,99.32,5.456
108.45,289.56,12.6,0.845,8.752,528.13,97.2,4.393
113.77,273.29,15.68,0.634,7.207,511.35,97.087,6.34
79.08,143.77,10.2,0.729,11.544,644.04,97.29,5.49
66.6,421.26,59.97,0.848,9.589,486.6,96.231,3.787
73.68,612.91,50.11,0.596,9.135,386.31,97.734,5.188
85.63,524.71,49.34,0.881,9.249,417.62,98.444,3.188
109.08,571.01,35.49,0.608,7.249,353.6,98.22,6.642
111.64,156.8,25.0,0.701,7.893,583.82,97.652,5.788
60.42,766.04,17.56,0.755,13.102,304.27,96.595,4.182
90.64,686.94,24.23,0.875,9.236,318.34,98.951,4.211
85.04,663.56,28.8,0.522,9.3,332.05,98.885,5.589
73.33,676.09,47.82,0.773,10.083,354.55,97.544,4.053
67.19,752.9,36.98,0.66,11.433,295.48,97.626,5.296
80.26,480.98,13.87,0.534,10.416,441.71,97.952,5.36
116.57,240.2,10.9,0.788,8.529,554.32,96.02,6.425
79.39,531.75,15.12,0.676,11.328,418.25,97.982,4.627
91.13,620.02,30.52,0.73,8.579,342.99,98.697,4.23
102.18,616.54,56.66,0.561,7.48,347.93,96.556,6.125
81.82,465.01,41.87,0.641,9.904,441.54,98.449,6.432
118.31,147.92,50.09,0.709,6.119,601.71,96.409,5.011
117.75,359.78,33.32,0.602,7.596,465.25,97.161,6.31
75.11,744.54,28.08,0.499,11.192,319.26,98.84,6.001
89.83,509.11,15.42,0.881,10.348,434.38,98.206,4.019
78.05,476.83,53.8,0.656,9.082,441.87,98.117,5.341
77.09,288.2,49.16,0.767,9.216,558.96,98.191,4.293
62.21,357.91,18.41,0.606,12.269,537.64,96.094,4.953
96.57,726.74,35.61,0.578,8.895,293.96,99.174,5.665
90.16,566.52,34.37,0.604,9.12,387.93,98.538,5.05
63.09,651.17,41.25,0.605,10.193,372.13,97.545,4.961
76.72,418.04,57.31,0.672,9.706,482.4,96.818,4.889
114.5,541.17,38.99,0.672,7.169,373.19,98.284,5.483
74.37,273.87,37.01,0.649,10.242,564.77,98.98,5.482
68.69,593.82,12.52,0.467,12.362,393.81,96.501,5.065
89.37,399.32,13.15,0.648,10.998,483.32,97.735,5.385
119.14,409.78,19.37,0.485,6.525,442.71,96.654,8.224
74.52,554.53,11.62,0.463,11.77,410.01,97.286,5.614
100.33,755.4,47.17,0.866,7.305,257.6,98.311,4.696
105.7,144.8,46.17,0.702,7.646,608.93,97.689,5.782
74.26,677.32,16.8,0.73,11.489,340.96,97.536,4.128
103.69,304.67,51.8,0.601,7.549,530.77,97.54,5.503
82.07,410.74,17.74,0.854,10.604,473.42,98.632,4.173
97.94,115.34,25.06,0.719,8.378,644.63,98.82,6.256
98.01,310.73,22.45,0.785,9.092,524.42,98.339,4.747
92.15,451.84,28.62,0.584,9.536,450.57,99.091,5.845
65.42,139.32,22.73,0.88,12.3,672.56,97.515,4.394
110.12,443.77,34.45,0.81,7.243,441.84,98.483,5.068
79.25,748.98,30.37,0.827,10.801,299.0,99.635,3.088
71.19,173.78,59.33,0.486,9.225,626.91,96.23,6.383
62.45,635.11,12.8,0.535,12.67,366.71,96.431,6.157
95.45,386.77,17.11,0.543,9.467,478.79,97.865,6.247
100.65,558.62,12.64,0.535,9.549,371.52,97.38,4.871
61.0,282.17,41.29,0.828,11.661,580.59,97.37,4.166
90.73,211.64,12.73,0.416,9.74,561.45,97.545,7.008
73.59,212.32,51.82,0.438,9.381,602.74,98.189,5.717
98.71,149.34,35.6,0.537,8.558,607.6,98.672,5.764
70.46,229.95,36.35,0.5,11.656,591.26,98.401,6.667
101.46,564.95,38.08,0.516,7.789,374.28,98.002,6.002
83.2,717.18,18.54,0.799,11.472,298.22,98.47,3.699
116.2,669.89,19.88,0.682,8.716,318.83,97.394,5.547
68.25,579.59,25.94,0.403,11.325,393.4,97.674,6.046
80.46,177.3,39.67,0.615,9.644,613.89,97.988,5.794
66.81,302.43,20.51,0.604,11.534,550.81,97.447,5.309
115.48,316.86,15.82,0.457,8.08,495.27,96.648,6.651
112.64,274.97,58.51,0.738,5.722,538.1,96.244,5.294
75.48,460.5,11.1,0.751,11.602,470.34,97.759,4.764
99.6,474.89,50.13,0.76,8.352,436.51,97.895,4.975
109.03,349.82,49.4,0.764,6.792,494.18,97.24,5.204
93.31,347.65,24.86,0.4,9.316,497.54,98.288,8.087
91.78,679.99,16.78,0.877,9.401,312.77,98.342,4.259
74.51,652.5,17.28,0.807,11.567,353.06,97.997,4.421
65.59,315.46,44.87,0.852,10.871,555.45,97.484,3.801
113.83,739.65,42.14,0.408,6.934,269.83,97.669,7.2
114.03,766.97,49.14,0.867,6.594,257.78,97.259,4.096
97.99,328.72,56.87,0.805,7.442,527.07,97.295,5.19
80.34,348.1,44.6,0.819,9.789,531.87,98.317,4.292
80.95,453.94,17.79,0.447,10.757,450.47,97.883,6.596
103.56,758.78,22.17,0.769,8.964,252.92,97.565,4.776
113.83,713.42,52.11,0.88,6.638,296.52,96.904,4.274
113.23,171.8,20.47,0.739,8.59,594.49,97.433,7.126
106.79,374.91,13.63,0.685,9.252,465.69,97.319,5.316
98.52,487.36,45.16,0.873,8.199,438.09,98.688,3.908
65.05,452.19,30.13,0.621,12.084,477.88,97.914,5.467
69.7,235.7,56.0,0.7,10.002,596.79,96.779,4.663
113.91,701.17,42.51,0.638,7.475,300.23,97.536,5.602
96.39,573.86,14.52,0.866,10.066,390.23,97.532,3.612
60.55,686.54,57.39,0.438,9.681,346.02,95.458,6.142
66.09,701.13,22.93,0.651,12.284,335.34,97.608,4.969
99.81,623.85,26.86,0.743,8.949,350.63,98.492,4.754
60.3,407.45,30.11,0.796,11.888,505.71,97.639,4.38
69.65,527.38,12.56,0.692,12.12,428.07,96.722,3.787
92.92,212.26,34.83,0.854,8.943,578.9,99.151,4.166
101.51,571.55,16.17,0.871,9.423,373.22,97.977,4.148
99.12,225.48,30.05,0.432,8.461,560.42,98.902,6.578
73.46,585.76,27.54,0.601,11.437,384.55,98.654,4.402
102.73,260.72,48.64,0.412,7.428,540.33,98.032,7.17
74.23,182.29,50.16,0.565,9.57,615.66,97.092,6.261
79.52,215.7,17.67,0.668,10.585,599.4,98.432,6.005
104.79,101.39,28.33,0.855,8.565,621.8,99.018,4.588
98.98,603.12,28.67,0.823,8.97,358.79,98.702,4.803
110.95,612.68,17.57,0.464,8.54,336.77,97.318,7.142
99.46,460.45,49.92,0.447,7.27,429.14,97.613,7.459
94.1,212.95,45.36,0.695,7.772,579.84,97.98,5.326
65.62,158.49,19.52,0.666,12.224,630.96,97.076,4.258
82.06,113.39,28.34,0.533,10.772,650.73,98.613,6.364
75.91,216.02,15.29,0.85,11.007,608.03,97.64,3.697
74.64,723.6,41.41,0.864,10.853,319.1,98.24,3.225
118.38,269.08,16.07,0.601,8.02,529.58,96.204,6.34
83.59,347.99,59.3,0.845,8.599,521.05,97.07,4.083
113.52,173.74,49.03,0.592,6.485,583.09,96.811,6.616
97.87,255.65,29.51,0.768,8.372,555.79,99.044,5.443
107.69,463.46,38.93,0.638,8.025,430.92,98.432,5.679
90.16,525.43,55.57,0.461,7.837,392.11,98.175,6.708
94.61,271.75,37.7,0.864,8.493,543.83,99.348,4.444
89.55,140.41,18.72,0.627,10.485,638.56,98.424,6.356
71.71,373.72,28.94,0.767,10.293,496.09,98.211,4.363
103.35,263.94,52.16,0.584,6.69,539.08,97.601,6.262
76.85,253.69,42.21,0.409,9.857,580.94,98.476,6.639
61.46,771.9,42.54,0.45,11.209,290.34,97.01,5.675
98.73,531.41,53.34,0.648,7.823,393.39,97.871,5.163
70.63,489.81,54.7,0.745,9.718,451.13,96.652,4.012
116.43,391.04,55.99,0.567,7.069,452.4,95.84,6.921
117.24,400.26,14.74,0.748,8.017,453.13,96.653,4.916
114.89,478.63,37.21,0.749,7.081,406.47,97.607,5.164
82.21,587.5,47.03,0.752,8.979,392.08,98.372,5.053
60.93,591.5,47.85,0.646,10.977,410.71,96.805,4.573
115.7,220.19,40.34,0.857,7.23,555.32,97.305,5.364
85.69,450.08,18.34,0.645,10.903,444.35,98.647,5.101
118.0,388.37,49.87,0.625,5.658,452.02,96.187,5.695
117.82,709.37,46.01,0.5,6.326,274.95,96.892,5.851
111.18,541.99,14.31,0.554,8.735,380.61,97.06,7.015
77.67,472.75,33.19,0.421,10.488,438.19,98.354,5.985
83.11,180.78,18.7,0.717,10.634,606.0,98.333,5.554
111.07,523.95,26.87,0.524,8.145,390.2,97.605,6.052
79.02,182.04,10.9,0.552,10.976,620.26,97.624,6.744
70.17,336.04,30.02,0.785,11.744,534.34,97.979,5.458
93.41,199.99,37.49,0.564,9.219,576.0,98.694,5.443
116.17,584.45,40.98,0.521,6.276,373.78,96.94,6.07
101.76,244.38,43.17,0.485,7.416,557.16,97.918,7.27
94.2,374.3,51.81,0.787,7.69,490.09,98.499,5.042
65.83,726.97,20.77,0.465,12.106,320.21,97.483,6.189
96.9,243.02,16.02,0.627,9.121,558.87,98.025,5.647
119.4,455.46,52.58,0.653,5.883,425.2,95.846,7.006
68.41,393.49,17.83,0.744,12.041,508.74,97.705,4.571
91.1,112.69,58.74,0.717,7.964,642.24,96.883,4.801
112.64,654.93,52.13,0.805,6.727,316.58,97.148,4.639
104.45,148.33,35.04,0.422,7.593,588.73,98.166,6.805
101.82,431.98,59.07,0.548,7.303,462.69,96.462,7.111
102.15,492.47,14.87,0.54,9.001,405.33,97.835,5.98
81.57,539.9,25.15,0.473,10.229,394.37,98.857,6.5
77.62,582.04,41.91,0.545,9.954,384.9,98.676,5.467
108.56,277.29,27.5,0.555,8.148,518.8,97.806,6.257
108.61,106.99,56.42,0.661,6.698,622.93,96.515,5.144
112.02,606.41,13.28,0.732,8.293,349.04,96.879,5.542
114.79,474.96,37.47,0.591,7.0,418.85,97.363,6.927
90.68,685.28,39.54,0.76,8.997,326.58,99.37,4.112
90.09,674.97,42.64,0.568,8.281,320.15,98.004,4.946
107.9,690.33,22.78,0.545,8.208,297.42,97.705,6.598
99.0,439.57,28.23,0.671,9.025,451.54,98.603,4.694
102.12,333.54,52.18,0.412,6.834,485.13,96.64,7.847
107.75,654.09,19.75,0.44,8.987,319.8,97.26,6.409
113.4,415.91,51.34,0.609,7.051,433.76,97.013,5.647
80.28,228.41,38.13,0.871,9.434,607.71,98.92,4.273
82.53,698.48,48.11,0.761,9.763,316.91,98.828,3.869
65.64,717.79,45.68,0.444,10.541,316.81,97.857,5.577
94.7,426.42,20.38,0.823,9.82,456.97,98.663,4.706
62.16,152.99,38.44,0.766,11.137,647.71,97.652,3.279
87.94,371.48,53.39,0.705,8.877,516.96,97.88,5.976
92.56,662.48,31.61,0.81,9.42,339.7,98.268,4.35
77.19,731.24,58.33,0.602,8.763,290.85,96.472,4.554
95.45,242.43,32.61,0.511,8.421,571.51,98.898,6.093
61.83,146.88,17.14,0.656,11.809,663.97,96.863,5.649
62.24,714.15,29.47,0.674,11.825,325.84,97.608,4.785
109.36,372.58,57.59,0.669,6.802,477.36,96.158,6.493
81.61,479.23,25.99,0.683,10.637,443.7,99.026,4.716
67.62,777.65,53.4,0.874,10.135,306.57,97.503,3.477
91.33,146.6,54.06,0.851,7.783,618.45,98.119,4.787
106.2,553.82,27.51,0.838,8.107,381.72,98.73,4.891
72.95,151.87,14.16,0.801,12.157,638.36,97.245,5.067
97.37,362.83,46.23,0.872,7.966,485.56,98.822,3.996
65.12,662.67,25.58,0.449,11.704,368.03,97.597,5.887
63.1,403.43,49.15,0.533,10.224,493.6,97.062,5.358
91.88,798.03,32.13,0.648,9.372,254.97,99.106,5.128
92.44,491.34,34.26,0.823,8.956,414.98,99.045,4.767
98.25,324.81,48.9,0.653,8.31,509.84,97.873,4.898
103.57,254.08,29.12,0.774,8.8,552.66,98.589,5.728
118.55,345.36,32.16,0.469,6.851,469.69,97.495,6.639
90.98,360.77,28.81,0.526,9.388,502.71,98.752,6.148
79.38,148.1,28.37,0.766,10.241,633.76,99.068,5.466
107.71,358.7,36.3,0.482,7.145,489.91,98.439,7.065
76.25,424.97,50.44,0.576,9.208,488.89,97.72,5.816
86.34,605.92,28.09,0.532,9.928,359.72,99.27,5.336
64.71,559.71,36.21,0.575,11.315,413.12,97.663,4.763
61.52,596.14,43.54,0.754,11.187,399.71,97.721,4.58
117.76,105.85,23.47,0.584,7.46,616.8,97.206,6.451
110.16,252.37,23.88,0.678,8.57,541.18,97.887,5.638
101.76,563.18,56.67,0.45,7.186,373.43,96.697,7.254
84.54,438.79,46.18,0.803,9.45,464.22,98.55,3.912
70.4,103.72,38.86,0.585,9.891,668.83,98.145,5.929
69.39,663.15,42.39,0.724,8.978,362.12,97.677,4.4
75.01,640.97,11.46,0.763,11.768,365.06,97.119,4.282
92.95,483.89,40.91,0.505,8.1,431.82,98.509,6.087
102.88,146.52,35.48,0.842,8.164,617.3,98.9,4.567
99.61,636.56,37.29,0.708,8.258,336.82,99.174,4.568
76.8,508.6,27.97,0.614,11.277,433.15,98.227,5.582
117.29,647.37,14.07,0.491,8.22,302.34,96.791,6.417
104.27,626.22,19.67,0.871,9.002,352.83,98.079,4.717
93.26,662.1,57.54,0.778,8.23,308.81,97.015,4.426
96.7,462.61,30.43,0.504,9.041,433.67,99.033,5.918
85.18,198.23,33.33,0.569,9.507,606.11,98.812,5.973
74.86,569.81,12.64,0.805,12.049,390.53,97.325,3.893
81.36,534.33,11.88,0.748,10.678,417.31,97.403,5.11
105.47,619.58,45.86,0.783,7.634,338.04,97.83,4.608
60.86,218.92,36.9,0.621,10.853,610.4,97.594,5.137
66.96,236.48,35.44,0.758,11.18,606.82,97.994,5.259
62.76,723.29,22.16,0.593,12.127,322.32,96.748,5.227
62.44,624.98,47.24,0.506,11.465,359.53,97.155,6.421
111.33,735.76,18.41,0.716,7.762,264.23,97.056,5.822
102.22,631.1,19.5,0.888,8.874,350.04,97.879,3.642
88.45,518.01,33.04,0.555,9.768,416.08,99.327,6.414
65.87,557.89,24.31,0.63,11.838,427.51,97.289,5.739
89.5,722.39,22.37,0.737,10.015,313.23,97.995,5.412
88.41,505.16,42.26,0.671,8.633,419.35,98.985,5.733
70.39,542.67,42.55,0.822,10.251,441.67,98.08,4.419
86.03,209.53,51.23,0.781,9.288,594.07,98.063,4.675
83.91,431.74,30.89,0.429,9.851,455.63,98.736,6.253
96.95,601.48,13.65,0.899,9.981,359.01,97.923,3.766
98.11,289.66,23.68,0.776,9.154,517.31,98.414,4.183
62.72,241.58,59.0,0.832,9.809,615.35,96.272,4.692
82.48,319.68,39.81,0.726,10.002,547.04,98.409,4.835
97.55,269.05,45.49,0.828,8.371,540.45,98.66,5.359
90.19,250.44,10.37,0.456,11.326,557.85,97.507,6.2
111.39,397.4,35.91,0.574,7.059,457.84,97.742,6.928
99.52,735.49,11.88,0.838,10.025,277.64,97.208,3.978
69.78,454.94,38.46,0.501,10.12,451.98,98.433,5.293
64.23,231.54,56.04,0.439,10.254,597.04,95.907,7.232
98.55,153.88,58.42,0.794,7.824,608.8,96.848,5.606
61.59,587.31,37.03,0.818,10.638,401.42,97.82,3.844
95.15,367.96,32.91,0.481,8.805,490.46,98.872,6.664
116.41,675.28,57.25,0.827,5.847,314.56,95.327,4.91
94.53,561.66,43.68,0.743,8.196,383.25,99.216,4.966
83.29,657.37,13.24,0.66,11.027,342.1,97.551,4.652
98.6,290.36,33.29,0.815,9.141,541.03,98.802,4.585
87.5,584.65,22.01,0.61,10.029,381.3,98.67,6.488
92.74,284.84,33.49,0.497,9.138,533.4,99.104,7.924
116.49,757.35,32.77,0.542,7.251,252.71,98.06,7.099
83.17,545.46,39.11,0.653,9.588,408.5,98.359,5.441
117.67,327.16,27.84,0.666,6.958,482.18,97.568,5.863
114.32,288.66,18.21,0.803,8.628,528.98,97.388,4.782
71.75,233.65,35.19,0.796,10.858,607.79,98.438,4.061
64.16,586.25,51.51,0.691,10.657,394.33,97.098,4.276
66.05,253.1,43.2,0.79,10.471,592.93,98.041,5.401
61.09,516.71,26.92,0.496,11.732,444.34,96.802,6.633
65.67,285.24,56.78,0.425,9.965,561.68,96.758,6.851
100.98,563.38,55.61,0.837,6.778,384.14,96.874,3.955
64.27,670.46,20.47,0.438,11.291,347.9,96.789,6.435
79.14,644.62,11.97,0.523,10.987,337.39,97.261,5.679
110.69,632.6,47.07,0.748,7.225,334.25,98.137,4.019
61.4,231.41,51.38,0.605,10.439,596.46,96.453,5.512
108.87,161.87,58.39,0.838,6.215,603.56,96.42,4.566
76.91,589.26,54.49,0.549,8.961,377.89,97.803,5.251
67.09,357.84,40.03,0.406,10.571,521.22,97.719,6.423
101.8,402.64,36.5,0.55,8.054,474.63,98.265,6.082
97.74,121.8,11.39,0.689,10.684,632.15,97.316,5.682
112.65,281.7,22.33,0.588,8.47,511.62,97.946,6.402
104.1,123.57,32.98,0.667,8.633,611.31,98.602,5.016
108.21,715.43,41.43,0.838,7.991,283.83,98.763,5.179
76.92,270.38,37.86,0.856,9.81,574.07,98.992,3.639
70.65,490.14,47.13,0.533,9.663,448.52,97.549,5.249
105.04,127.29,23.99,0.631,8.144,608.81,98.263,6.023
108.41,566.79,38.25,0.675,8.151,358.56,97.957,5.5
119.43,326.12,14.41,0.875,7.769,496.34,96.06,5.545
84.76,728.54,30.68,0.899,9.455,302.4,100.0,3.705
82.32,721.68,47.51,0.518,9.022,319.58,98.586,6.102
106.58,327.7,44.67,0.763,7.373,505.01,98.333,5.36
80.45,730.67,59.53,0.589,8.872,314.87,96.641,5.46
115.85,797.31,23.89,0.404,7.759,218.26,97.69,7.25
111.5,677.79,34.91,0.405,7.124,285.26,98.218,6.158
85.74,691.41,26.48,0.63,10.28,309.62,99.398,5.117
105.05,274.31,32.03,0.644,7.932,543.28,99.056,6.543
105.27,503.69,52.85,0.411,6.997,414.94,96.783,9.105
66.19,147.08,44.21,0.743,10.992,644.83,97.358,4.114
114.15,166.44,54.12,0.547,6.069,578.01,96.091,7.046
90.32,799.22,20.18,0.68,9.742,245.21,98.215,4.642
109.59,328.65,53.67,0.55,6.951,482.23,96.971,7.584
79.2,623.73,12.99,0.484,10.816,365.9,97.282,5.382
113.73,664.67,54.43,0.604,6.207,308.82,97.046,6.301
83.35,700.62,26.45,0.516,10.386,313.37,99.301,5.166
60.65,798.34,25.73,0.667,12.883,269.73,97.195,4.251
114.32,269.05,35.6,0.499,7.466,536.8,98.245,7.004
65.48,128.25,57.03,0.654,10.295,656.9,96.741,5.791
79.16,387.83,12.39,0.479,11.404,498.43,97.237,5.785
117.0,191.06,27.61,0.735,7.05,556.98,96.82,6.068
117.04,115.7,52.83,0.777,6.275,609.57,96.289,5.573
94.41,352.3,29.8,0.455,9.082,500.07,98.633,6.941
97.91,648.62,19.96,0.634,9.488,334.03,98.38,5.985
86.91,496.33,31.24,0.435,9.663,425.12,98.911,5.988
77.59,318.94,29.28,0.699,10.69,543.36,98.735,5.444
79.72,558.04,55.77,0.532,8.869,388.91,97.473,5.559
100.35,262.41,48.1,0.664,7.79,547.52,97.757,6.31
105.14,110.07,35.26,0.659,7.532,626.5,98.623,6.208
107.49,635.05,59.42,0.862,6.56,336.38,96.26,4.237
107.38,536.62,33.26,0.675,8.505,386.29,98.427,5.269
65.47,633.61,12.91,0.691,12.452,361.5,96.882,4.938
89.67,127.26,23.11,0.601,9.843,622.09,98.302,6.692
63.45,685.98,31.8,0.875,12.354,329.45,97.711,3.069
92.97,533.67,17.85,0.789,9.362,410.39,98.292,4.028
86.49,494.38,57.38,0.543,7.931,434.16,97.094,6.326
113.26,537.23,48.34,0.822,7.454,389.28,97.517,4.071
81.05,705.1,23.41,0.616,10.548,317.31,98.339,4.566
67.02,510.86,39.54,0.814,10.808,425.98,97.858,3.412
68.58,506.67,46.07,0.811,9.974,435.62,97.591,3.789
105.69,793.48,57.06,0.494,7.019,241.88,97.019,5.686
97.09,629.71,54.08,0.751,7.971,346.21,97.509,3.839
66.07,409.61,35.76,0.545,10.652,494.9,98.027,5.072
65.05,595.18,48.73,0.549,10.468,394.25,97.739,5.735
